Name,type,longitude,latitude
1,MM,-91.726046,46.996050
2,MM,-91.739607,46.984958
3,MMFA,-91.753528,46.974288
4,MM,-91.764130,46.962009
5,MMFA,-91.778940,46.951904
6,MM,-91.793366,46.941558
7,MMFA,-91.809706,46.932341
8,MM,-91.829103,46.929165
9,MMFA,-91.849033,46.924932
10,MM,-91.858568,46.912664
11,MMFA,-91.877883,46.907648
12,MM,-91.894244,46.898758
13,MMMT,-91.909134,46.888577
14,MM,-91.925365,46.880171
15,MMFA,-91.942140,46.871649
16,MMMTo,-91.958794,46.862947
17,MMFA,-91.976014,46.855000
18,MM,-91.991902,46.845499
19,MMMT,-92.007651,46.836534
20,MMFA,-92.025754,46.829510
21,MMFA,-92.042506,46.822261
22,MMMT,-92.057003,46.811916
23,MMFA,-92.072931,46.802520
24,MMFA,-92.088849,46.794268
25,MMFA,-92.102773,46.783591
26,MM,-92.096051,46.785820
F,MM,-92.093920,46.782271
