Name,longitude,latitude
UMD (Kirby Circle),-92.085823,46.817863
CSS (Somers Hall),-92.104783,46.817000
Best Western Bridgeview – Superior,-92.098038,46.732826
UWS (Curran-McNeill & Ostrander Hall),-92.085346,46.717618
Superior Inn,-92.098046,46.732006
Holiday Inn Express,-92.072728,46.723332
Barker's Island Inn,-92.056186,46.718110
Motel 6--West Duluth,-92.129000,46.760830
Comfort Inn West,-92.147043,46.749853
Super 8 Motel,-92.148453,46.748563
AmericInn Hotel & Suites of Duluth/Proctor,-92.218002,46.739739
Best Western Plus Spirit Mountain Duluth,-92.220800,46.725375
Duluth Spirit Mountain--America's Best Value Inn,-92.220018,46.727387
"Miller Hill Mall (behind Perkins, near Sears)",-92.156052,46.803989
The Edgewater Resort & Waterpark,-92.064296,46.806977
Fitger’s Inn,-92.089987,46.792769
Sheraton Duluth Hotel,-92.093882,46.790110
AmericInn – Two Harbors,-91.689599,47.024689
Super One Foods – Two Harbors,-91.680437,47.027236
Larsmont Cottages,-91.753390,46.972061
Superior Shores Resort,-91.641064,47.033964
Country Inn -- Two Harbors,-91.682956,47.024136
